Species Name,Scientific Name,Typical Range
African Apple Snail,Achatina fulica,Across India
Papaya Mealy Bug,Paracoccus marginatus,"Assam, West Bengal, Tamil Nadu"
Cotton Mealy Bug,Phenacoccus solenopsis,Water Bodies Across India
Amazon Sailfin Catfish,Pterygoplichthys pardalis, Kolkata
Water Hyacinth,Eichhornia crassipes,Water Bodies Across India
Lantana,Lantana camara,Forests and open areas Across India
Common Carp,Cyprinus carpio,Water Bodies Across India
House Crow,Corvus splendens,Urban and rural areas Across India
Red-Eared Slider,Trachemys scripta elegans,Water Bodies Across India
American Bullfrog,Lithobates catesbeianus,Andaman and Nicobar Islands
Prosopis Juliflora,Prosopis juliflora,Rajasthan
Parthenium Weed,Parthenium hysterophorus,Agricultural lands Across India
Black Wattle,Acacia mearnsii,Mountain region Across India
Yellow Crazy Ant,Anoplolepis gracilipes,Andaman and Nicobar Islands
Giant African Snail,Lissachatina fulica,Across India
Black Rat,Rattus rattus,Agricultural lands Across India
Argentine Ant,Linepithema humile,Urban and rural areas Across India
Bonnemaisonia hamifera,Bonnemaisonia hamifera,Water Bodies Across India
African Apple Snail,Achatina fulica,Across India
Papaya Mealy Bug,Paracoccus marginatus,"Assam, West Bengal, Tamil Nadu"
Cotton Mealy Bug,Phenacoccus solenopsis,Water Bodies Across India
Amazon Sailfin Catfish,Pterygoplichthys pardalis,Kolkata
Water Hyacinth,Eichhornia crassipes,Water bodies Across India
Lantana,Lantana camara,Forests and open areas Across India
Common Carp,Cyprinus carpio,Water Bodies Across India
House Crow,Corvus splendens,Urban and rural areas Across India
Red-Eared Slider,Trachemys scripta elegans,Water Bodies Across India
American Bullfrog,Lithobates catesbeianus,Andaman and Nicobar Islands
Prosopis Juliflora,Prosopis juliflora,Rajasthan
Parthenium Weed,Parthenium hysterophorus,Agricultural lands Across India
Black Wattle,Acacia mearnsii,Mountain region Across India
Yellow Crazy Ant,Anoplolepis gracilipes,Andaman and Nicobar Islands
Giant African Snail,Lissachatina fulica,Across India
Black Rat,Rattus rattus,Agricultural lands Across India
Argentine Ant,Linepithema humile,Urban areas Across India
Bonnemaisonia hamifera,Bonnemaisonia hamifera,Water Bodies Across India
Mikania, Mikania micrantha,"Sikkim, Assam, Meghalaya, Nagaland, Manipur"
Giant Salvinia,Salvinia molesta,Water bodies Across India
Bullfrog,Hoplobatrachus tigerinus,Andaman and Nicobar Islands
Cochineal Insect,Dactylopius coccus,Across India
Chinese Tallow Tree,Triadica sebifera,Mountain region Across India
Common Myna,Acridotheres tristis,Urban and rural areas Across India
Pine Wood Nematode,Bursaphelenchus xylophilus,"Sikkim, Assam, Meghalaya, nagaland, Manipur"
Tilapia,Oreochromis niloticus,Rivers and lakes Across India
Velvetleaf,Abutilon theophrasti,Agricultural lands Across India
Mexican Feather Grass,Nassella tenuissima,Open grasslands Across India 
Wild Ginger,Hedychium gardnerianum,"Sikkim, Assam, Meghalaya, nagaland, Manipur"
Prickly Pear,Cylindropuntia spp.,Rajasthan
African Apple Snail,Achatina fulica,Across India
Papaya Mealy Bug,Paracoccus marginatus,"Assam, West Bengal, Tamil Nadu"
Cotton Mealy Bug,Phenacoccus solenopsis,Water Bodies Across India
Amazon Sailfin Catfish,Pterygoplichthys pardalis,Kolkata
Water Hyacinth,Eichhornia crassipes,Water bodies Across India
Lantana,Lantana camara,Forests and open areas Across India
Common Carp,Cyprinus carpio,Rivers and lakes Across India
House Crow,Corvus splendens,Urban and rural areas Across India
Red-Eared Slider,Trachemys scripta elegans,Water Bodies Across India
American Bullfrog,Lithobates catesbeianus,Andaman and Nicobar Islands
Prosopis Juliflora,Prosopis juliflora,Rajasthan
Parthenium Weed,Parthenium hysterophorus,Agricultural lands Across India
Black Wattle,Acacia mearnsii,Mountain region Across India
Yellow Crazy Ant,Anoplolepis gracilipes,Andaman and Nicobar Islands
Giant African Snail,Lissachatina fulica,Across India
Black Rat,Rattus rattus,Urban and agricultural areas Across India
Argentine Ant,Linepithema humile,Urban areas Across India
Bonnemaisonia hamifera,Bonnemaisonia hamifera,Water Bodies Across India
Mikania, Mikania micrantha,"Sikkim, Assam, Meghalaya, nagaland, Manipur"
Giant Salvinia,Salvinia molesta,Water bodies Across India
Bullfrog,Hoplobatrachus tigerinus,Andaman and Nicobar Islands
Cochineal Insect,Dactylopius coccus,Across India
Chinese Tallow Tree,Triadica sebifera,Mountain region Across India
Common Myna,Acridotheres tristis,Urban and rural areas Across India
Pine Wood Nematode,Bursaphelenchus xylophilus,Forests and open areas Across India
Tilapia,Oreochromis niloticus,Rivers and lakes Across India
Velvetleaf,Abutilon theophrasti,Agricultural lands Across India
Mexican Feather Grass,Nassella tenuissima,Open grasslands Across India
Wild Ginger,Hedychium gardnerianum,Mountain region Across India
Prickly Pear,Cylindropuntia spp.,Rajasthan
Gambusia,Mosquitofish,Water bodies Across India
Australian Pine,Casuarina equisetifolia,Coastal regions Across India
Rose-ringed Parakeet,Psittacula krameri,Urban areas Across India
Golden Apple Snail,Pomacea canaliculata,Kerala
Siam Weed,Chromolaena odorata,Mountain region Across India
Carpenter Ant,Camponotus spp.,Forests and open areas Across India
Musk Shrew,Suncus murinus,Urban and rural areas Across India
Red Swamp Crayfish,Procambarus clarkii,Kerala
Brown Rat,Rattus norvegicus,Urban areas Across India
Spotted Deer,Axis axis,Andaman and Nicobar Islands
Leucaena,Leucaena leucocephala,Tropical regions Across India
Bittervine,Mikania micrantha,"Sikkim, Assam, Meghalaya, nagaland, Manipur"
Asian Tiger Mosquito,Aedes albopictus,Urban and rural areas Across India
Australian Wattle,Acacia auriculiformis,Mountain region Across India
Rose-ringed Parakeet,Psittacula krameri,Urban and rural areas Across India
American Cockroach,Periplaneta americana,Urban areas Across India
Giant African Land Snail,Achatina fulica,Across India
Killer Algae, Caulerpa taxifolia, Coastal waters Across India
Flame Tree, Delonix regia,Urban areas Across India
Coastal Sandbur, Cenchrus echinatus, Coastal regions Across India
Green Iguana, Iguana iguana, Andaman and Nicobar Islands
Purple Loosestrife, Lythrum salicaria,"Sikkim, Assam, Meghalaya, nagaland, Manipur"
Spiny Pigweed, Amaranthus spinosus,Agricultural lands Across India
Wild Tobacco, Nicotiana glauca,Rajasthan
African Lovegrass, Eragrostis curvula, Grasslands Across India
African Tulip Tree, Spathodea campanulata, Mountain region Across India
Scarlet Sage, Salvia coccinea, Urban gardens Across India
Milkweed, Asclepias curassavica, Agricultural lands Across India
Alligator Weed, Alternanthera philoxeroides, Water bodies Across India
Madagascar Periwinkle, Catharanthus roseus, Urban areas Across India
Balloon Vine, Cardiospermum halicacabum, Tropical regions Across India
Brassica Weed, Brassica tournefortii, Agricultural lands Across India
Devil's Claw, Proboscidea louisianica, Agricultural lands Across India
Silverleaf Nightshade, Solanum elaeagnifolium, Rajasthan
Tropical Soda Apple, Solanum viarum, Agricultural lands Across India
Giant Hogweed, Heracleum mantegazzianum, Forests and open areas Across India
Cogon Grass, Imperata cylindrica, Grasslands Across India
Water Lettuce, Pistia stratiotes, Water bodies Across India
Bermuda Buttercup, Oxalis pes-caprae, Urban gardens Across India
Ground Cherry, Physalis angulata, Agricultural lands Across India
Yellow Bell, Tecoma stans, Urban areas Across India
Giant Reed, Arundo donax, Riverbanks Across India
Black Locust, Robinia pseudoacacia,Forests and open areas Across India
Tropical Kudzu, Pueraria phaseoloides,Forests and open areas Across India
Siberian Elm, Ulmus pumila,Forests and open areas Across India
Turkey Berry, Solanum torvum, Agricultural fields Across India
Blue Porterweed, Stachytarpheta jamaicensis, Coastal regions Across India
Crown-of-Thorns Starfish, Acanthaster planci,Andaman and Nicobar Islands
